epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.31462,0,74.9802,0,0,0,0,0,0,41.3438,0,1.25e-05,1.25e-05,1.25e-05
2,1.91617,0,75.0633,0,0,0,0,0,0,41.3438,0,3.37875e-05,3.37875e-05,3.37875e-05
3,2.48766,0,74.9416,0,0,0,0,0,0,41.3438,0,5.0125e-05,5.0125e-05,5.0125e-05
4,3.0681,0,74.9982,0,0,0,0,0,0,41.3438,0,6.15125e-05,6.15125e-05,6.15125e-05
5,3.69528,0,75.1567,0,0,0,0,0,0,41.3438,0,6.795e-05,6.795e-05,6.795e-05
6,4.3004,0,74.7654,0,0,0,0,0,0,41.3125,0,6.94375e-05,6.94375e-05,6.94375e-05
7,4.90638,0,74.6953,0,0,0,0,0,0,41.3125,0,6.5975e-05,6.5975e-05,6.5975e-05
8,5.45153,0,74.2966,0,0,0,0,0,0,41.3125,0,5.75625e-05,5.75625e-05,5.75625e-05
9,6.00025,0,74.0821,0,0,0,0,0,0,41.3125,0,4.42e-05,4.42e-05,4.42e-05
10,6.57544,0,73.8758,0,0,0,0,0,0,41.3125,0,2.58875e-05,2.58875e-05,2.58875e-05
